team,home_win_rate,draw_rate,away_win_rate,goals_scored_avg,goals_conceded_avg,strength,elo_rating
Real Madrid,0.70,0.20,0.10,2.10,0.90,0.85,2100
Barcelona,0.65,0.25,0.10,2.00,1.00,0.80,2050
Atletico Madrid,0.60,0.30,0.10,1.50,0.70,0.75,1950
Sevilla,0.55,0.25,0.20,1.70,1.10,0.65,1850
Valencia,0.50,0.30,0.20,1.40,1.20,0.60,1800
Villarreal,0.48,0.32,0.20,1.30,1.15,0.58,1780
Athletic Club,0.45,0.35,0.20,1.20,1.10,0.55,1750
Real Sociedad,0.43,0.37,0.20,1.15,1.05,0.53,1730
Betis,0.40,0.35,0.25,1.10,1.20,0.50,1700
Getafe,0.35,0.40,0.25,0.90,1.10,0.45,1680
